M80C0 1. 0.
M80C1 1. 0.
M80C2 1. 0.
M80C3 1. 0.
M80C4 1. 0.
M80C5 1. 0.
M80C6 1. 0.
M80C7 1. 0.
M81C0 1. 0.
M81C1 1. 0.
M81C2 1. 0.
M81C3 1. 0.
M81C4 1. 0.
M81C5 1. 0.
M81C6 1. 0.
M81C7 1. 0.
M82C0 1. 0.
M82C1 1. 0.
M82C2 1. 0.
M82C3 1. 0.
M82C4 1. 0.
M82C5 1. 0.
M82C6 1. 0.
M82C7 1. 0.
M83C0 1. 0.
M83C1 1. 0.
M83C2 1. 0.
M83C3 1. 0.
M83C4 1. 0.
M83C5 1. 0.
M83C6 1. 0.
M83C7 1. 0.
M84C0 1. 0.
M84C1 1. 0.
M84C2 1. 0.
M84C3 1. 0.
M84C4 1. 0.
M84C5 1. 0.
M84C6 1. 0.
M84C7 1. 0.
M85C0 1. 0.
M85C1 1. 0.
M85C2 1. 0.
M85C3 1. 0.
M85C4 1. 0.
M85C5 1. 0.
M85C6 1. 0.
M85C7 1. 0.
M86C0 1. 0.
M86C1 1. 0.
M86C2 1. 0.
M86C3 1. 0.
M86C4 1. 0.
M86C5 1. 0.
M86C6 1. 0.
M86C7 1. 0.
M87C0 1. 0.
M87C1 1. 0.
M87C2 1. 0.
M87C3 1. 0.
M87C4 1. 0.
M87C5 1. 0.
M87C6 1. 0.
M87C7 1. 0.
M180C0 1. 0.
M180C1 1. 0.
M180C2 1. 0.
M180C3 1. 0.
M180C4 1. 0.
M180C5 1. 0.
M180C6 1. 0.
M180C7 1. 0.
M181C0 1. 0.
M181C1 1. 0.
M181C2 1. 0.
M181C3 1. 0.
M181C4 1. 0.
M181C5 1. 0.
M181C6 1. 0.
M181C7 1. 0.
M182C0 1. 0.
M182C1 1. 0.
M182C2 1. 0.
M182C3 1. 0.
M182C4 1. 0.
M182C5 1. 0.
M182C6 1. 0.
M182C7 1. 0.
M183C0 1. 0.
M183C1 1. 0.
M183C2 1. 0.
M183C3 1. 0.
M183C4 1. 0.
M183C5 1. 0.
M183C6 1. 0.
M183C7 1. 0.
M184C0 1. 0.
M184C1 1. 0.
M184C2 1. 0.
M184C3 1. 0.
M184C4 1. 0.
M184C5 1. 0.
M184C6 1. 0.
M184C7 1. 0.
M185C0 1. 0.
M185C1 1. 0.
M185C2 1. 0.
M185C3 1. 0.
M185C4 1. 0.
M185C5 1. 0.
M185C6 1. 0.
M185C7 1. 0.
M186C0 1. 0.
M186C1 1. 0.
M186C2 1. 0.
M186C3 1. 0.
M186C4 1. 0.
M186C5 1. 0.
M186C6 1. 0.
M186C7 1. 0.
M187C0 1. 0.
M187C1 1. 0.
M187C2 1. 0.
M187C3 1. 0.
M187C4 1. 0.
M187C5 1. 0.
M187C6 1. 0.
M187C7 1. 0.
